name_muscle;angles_1;angles_2;emg_muscle_1_(µV);emg_muscle_2_(µV);emg_muscle_3_(µV);emg_muscle_4_(µV)
;-178.57;162.32;1.84;-1.707;-2.9;-2.994
;-178.57;162.32;-0.895;0.811;-2.678;-0.577
;-178.57;162.32;1.335;-1.651;1.549;0.905
;-178.57;162.31;1.079;-2.614;3.835;0.087
;-178.57;162.31;0.874;-1.907;5.97;4.75
;-178.57;162.31;3.106;0.461;1.319;3.872
;-178.57;162.3;-2.757;0.608;4.119;-0.651
;-178.57;162.3;-3.926;3.811;8.286;-1.558
;-178.56;162.3;-0.428;2.96;-0.935;0.1
;-178.56;162.29;-1.502;-1.97;0.077;-0.802
;-178.56;162.29;-4.468;2.274;0.118;-2.253
;-178.56;162.29;-1.962;4.477;-1.894;-3.057
;-178.56;162.28;3.645;4.86;4.329;-4.662
;-178.56;162.28;3.836;1.507;2.238;-5.222
;-178.56;162.28;2.467;-1.544;2.554;-4.047
;-178.56;162.28;0.388;1.435;0.11;-1.166
;-178.56;162.27;-1.744;1.482;-2.158;-3.425
;-178.56;162.27;-0.098;1.253;1.003;-0.194
;-178.56;162.26;0.323;1.535;-3.756;6.533
;-178.56;162.26;-0.77;1.05;-4.221;3.755
;-178.56;162.26;-0.526;-1.473;-2.354;4.369
;-178.56;162.25;1.43;-2.18;-3.186;4.481
;-178.56;162.25;1.851;1.615;-1.096;-0.671
;-178.56;162.25;-2.689;0.855;1.05;-1.061
;-178.56;162.24;-1.856;-1.575;-0.006;0.583
;-178.56;162.24;-0.726;-2.116;-0.755;-0.471
;-178.56;162.24;-2.525;-1.849;0.915;1.867
;-178.56;162.23;1.271;-1.846;-2.466;3.292
;-178.56;162.23;2.83;-5.36;-1.409;-0.006
;-178.56;162.23;0.283;-4.532;2.05;1.086
;-178.56;162.22;-1.198;0.258;-0.799;1.051
;-178.56;162.22;2.448;2.047;0.429;-0.903
;-178.56;162.22;0.828;-0.281;-0.257;-1.121
